address,fuel,name,Longitude,Latitude,Time
"400 Taylor St NW, Washington, DC 20011, USA",62,EC6560,-77.01738,38.94098,5/19/2017 10:47
"528 Taylor St NW, Washington, DC 20011, USA",59,EC6560,-77.02018,38.94095,5/19/2017 11:53
"528 Taylor St NW, Washington, DC 20011, USA",59,EC6560,-77.02018,38.94095,5/19/2017 13:53
"2733-2775 S Quincy St, Arlington, VA 22206, USA",84,EC6564,-77.08656,38.84126,5/18/2017 13:36
"2733-2775 S Quincy St, Arlington, VA 22206, USA",84,EC6564,-77.08656,38.84126,5/18/2017 16:59
"445-463 12th St S, Arlington, VA 22202, USA",84,EC6564,-77.05242,38.86307,5/18/2017 17:19
"445-463 12th St S, Arlington, VA 22202, USA",84,EC6564,-77.05242,38.86307,5/18/2017 18:56
"3101 New Mexico Ave NW, Washington, DC 20016, USA",81,EC6564,-77.0852,38.93264,5/18/2017 19:47
"3101 New Mexico Ave NW, Washington, DC 20016, USA",81,EC6564,-77.0852,38.93264,5/18/2017 20:27
"3801 Calvert St NW, Washington, DC 20007, USA",75,EC6564,-77.07519,38.92255,5/18/2017 21:03
"3801 Calvert St NW, Washington, DC 20007, USA",75,EC6564,-77.07519,38.92255,5/19/2017 6:59
"1711-1719 Kalorama Rd NW, Washington, DC 20009, USA",71,EC6564,-77.03987,38.92082,5/19/2017 7:19
"1711-1719 Kalorama Rd NW, Washington, DC 20009, USA",71,EC6564,-77.03987,38.92082,5/19/2017 8:20
"50 F St NW, Washington, DC 20001, USA",71,EC6564,-77.01017,38.89728,5/19/2017 8:50
"50 F St NW, Washington, DC 20001, USA",71,EC6564,-77.01017,38.89728,5/19/2017 8:50
"801-839 N Taylor St, Arlington, VA 22203, USA",65,EC6564,-77.11243,38.88024,5/19/2017 9:21
"801-839 N Taylor St, Arlington, VA 22203, USA",65,EC6564,-77.11243,38.88024,5/19/2017 11:47
"2101-2199 N Abingdon St, Arlington, VA 22207, USA",65,EC6564,-77.12112,38.89904,5/19/2017 12:08
"2101-2199 N Abingdon St, Arlington, VA 22207, USA",65,EC6564,-77.12112,38.89904,5/19/2017 12:43
"957-999 N Randolph St, Arlington, VA 22203, USA",62,EC6564,-77.1093,38.88194,5/19/2017 12:58
"957-999 N Randolph St, Arlington, VA 22203, USA",62,EC6564,-77.1093,38.88194,5/19/2017 13:53
"1754 Pennsylvania Ave NW, Washington, DC 20006, USA",37,EC6565,-77.04063,38.89905,5/18/2017 13:46
"1754 Pennsylvania Ave NW, Washington, DC 20006, USA",37,EC6565,-77.04063,38.89905,5/18/2017 13:46
